source sentence, target sentence
vous tes incorrigible. , you re incorrigible.
je n ai pas honte. , i m not ashamed.
tu le sous estimes. , you are selling him short.
je ne suis pas ici. , i m not here.
vous tes en lieu s r. , you are in a safe place.
j attends que la lumi re change. , i m waiting for the light to change.
je n en suis pas si convaincu. , i m not so convinced.
elle dit que cela pouvait tre vrai. , she said that it might be true.
je suis d sol e. , i m sorry.
je suis impatient de te voir. , i m anxious to see you.
je suis la petite amie de personne. , i m no one s girlfriend.
tu es la meilleure. , you re the best.
je me d v ts. , i am undressing.
vous tes une de ces menteuses! , you are such a liar!
il est compl tement fou. , he s an absolute fool.
je me demande si j aime tom. , i m wondering if i love tom.
tu n es pas des n tres. , you re not one of us.
il est dot de nombreux talents. , he is endowed with many talents.
je suis un tre mauvais. , i am a bad person.
tu fais un boulot excellent. , you re doing an excellent job.
il est fou d elle. , he s crazy about her.
tu es tr s raffin. , you re very sophisticated.
je suis ravi de faire votre connaissance. , i m very pleased to meet you.
j en ai marre d couter ses plaintes. , i m sick of listening to her complaints.
vous n tes pas si int ressante. , you re not that interesting.
il est pauvre mais heureux. , he is poor but happy.
je suis de ton c t. , i m by your side.
je traverse les m mes probl mes. , i m having the same problems.
vous tes mignons dans votre genre. , you re kind of cute.
vous entrez dans la trentaine. , you re turning thirty.
j ai trente ans de plus que toi. , i m thirty years older than you.
il est bon menteur. , he s a good liar.
elle vous attend chez elle. , she s waiting for you at home.
je suis allong e dans l herbe. , i m lying on the grass.
je vais boston pour trois mois. , i m going to boston for three months.
vous n tes pas tr s ordonn. , you re not very tidy.
tu ne rends pas a facile. , you re not making this easy.
elle travaille sur le probl me. , she is working on the problem.
je ne suis pas m decin mais professeur. , i m not a doctor but a teacher.
tu es en s curit. , you re safe.
il est fain ant. , he is lazy.
vous tes nerveusement us e. , you re a nervous wreck.
tu n y es pas autoris. , you re not allowed in there.
vous n tes pas diff rente. , you re no different.
il a trois ans de plus que moi. , he s three years older than i am.
c est un fumeur inv t r. , he s a chain smoker.
il est tellement idiot! , he s so stupid.
je suis impatient de te voir bient t. , i m looking forward to seeing you soon.
je suppose que c est ton p re. , i m assuming this is your father.
a ne vous r ussit pas. , you re not good at this.
je n en suis pas persuad. , i m not persuaded.
je suis membre de l quipe de baseball. , i am a member of the baseball team.
tu es si pitoyable. , you re so pathetic.
je suis gras. , i m fat.
je suis la nouvelle enseignante. , i m the new teacher.
vous tes idiot. , you re silly.
j ach te des bonbons et des biscuits. , i m buying candy and cookies.
tu es une adulte maintenant. , you re a grown woman now.
elle est gentille. , she is kind.
il est ici pour nous espionner. , he s here to spy on us.
je suis tr s conscient du danger. , i m very much aware of the danger.
tu es un peu gras. , you are a bit fat.
il est en train de te regarder. , he s looking at you.
je suis s r de son nom. , i m sure about his name.
je ne fais que supposer. , i m just guessing.
vous tes une fille int ressante. , you re an interesting girl.
tu vas perdre. , you re going to lose.
ce n est pas un saint. , he s no saint.
vous tes malade! , you re sick!
je suis aussi curieuse que vous. , i m as curious as you are.
je suis conscient de cette possibilit. , i m aware of that possibility.
je suis remont. , i m psyched.
je conduis. , i m driving.
tu es amoureux. , you re in love.
il est perdu dans ses pens es. , he is lost in thought.
elle est aussi jeune que moi. , she is as young as i am.
je suis inquiet pour lui. , i m worried about him.
j ai honte de moi m me. , i m ashamed of myself.
je suis plus qu heureux. , i m more than happy.
je suis en train de me noyer. , i m drowning.
je ne vais pas te faire de mal. , i m not going to hurt you.
tu ne dis pas la v rit. , you re not telling the truth.
il a une allergie aux chats. , he s allergic to cats.
il exerce sur elle du chantage. , she is being blackmailed by him.
je n coute pas. , i m not listening.
elle est inqui te pour ta s curit. , she s worried about your safety.
elle l aime toujours. , she still loves him.
il n est pas mari. , he isn t married.
elle est fauch e. , she is hard up for money.
je suis heureux de te voir. , i am happy to meet you.
il parle horriblement mal anglais. , he is terrible at speaking english.
vous tes fort effront. , you re very forward.
je suis tudiant l universit d oxford. , i am a student at oxford university.
tu es n gligent. , you re careless.
je suis seul. , i m alone.
vous tes une romantique. , you re a romantic.
vous tes mon meilleur client. , you re my best customer.
je vais avoir besoin de vous. , i m going to need you.
je vais sortir cet apr s midi. , i m going to go out this afternoon.
j attends une lettre de tom. , i m waiting for a letter from tom.
tu es fou! , you re nuts!
je vais te dire la v rit. , i m going to tell you the truth.
vous n y tes pas bonnes. , you re not good at this.
je suis juste l ext rieur. , i m right outside.
vous tes tr s raffin s. , you re very sophisticated.
je suis un idiot complet. , i m a complete idiot.
tu portes ton t shirt l envers. , you are wearing your shirt inside out.
je suis paris. , i m in paris.
c est un lambin. , he s a slowpoke.
j ai trente ans. , i m thirty.
elle me parla avec le sourire. , she spoke to me with a smile.
il est la radio. , he is on the radio.
elle n est pas une enfant. , she s not a child.
c est vous l institutrice. , you re the teacher.
vous tes cens es faire cela. , you re supposed to do that.
je suis trop g pour tom. , i m too old for tom.
tu es libre de sortir. , you are free to go out.
il est beau et intelligent. , he is handsome and clever.
tu as trop confiance en toi. , you re overconfident.
je pense que tu as raison. , you re right i think.
je te quitte demain. , i m leaving you tomorrow.
vous n tes pas encore morte. , you re not dead yet.
je suis plut t timide. , i m rather shy.
vous tes en train de perdre. , you re losing.
je vais dormir. , i am going to bed.
je suis contre la peine de mort. , i m against the death penalty.
je suis surprise que vous ignoriez cela. , i m surprised you didn t know that.
t es une bonne fille. , you are a good person.
elle est toujours gentille avec tout le monde. , she is always kind to everyone.
je suis amoureux de toi. , i m in love with you.
c est toi l institutrice. , you re the teacher.
je suis retrait e. , i m retired.
je retourne l int rieur. , i m going back inside.
je suis stup fait. , i m astonished.
c est l amour de ma vie. , he s the love of my life.
je suis juste derri re toi. , i m right behind you.
je suis habitu e la douleur maintenant. , i m used to the pain now.
je suis ouvert aux suggestions. , i m open to suggestions.
tu es chanceux. , you re fortunate.
tu n es pas un perdant. , you re not a loser.
vous me bloquez la vue. , you re blocking my view.
je suis tourdi. , i m forgetful.
je ne vous parle pas tom. , i m not talking to you tom.
elle vous attend chez nous. , she s waiting for you at home.
tu es vraiment go ste. , you re really selfish.
je m en contente. , i m happy with it.
je suis en libert conditionnelle. , i m on parole.
je suis satisfaite de sa repr sentation. , i m pleased with his performance.
je suis de kyoto. , i m from kyoto.
je suis vraiment heureux d entendre a. , i m really glad to hear that.
tu n es pas aussi petite que moi. , you aren t as short as i am.
je ne pr vois rien. , i m not planning anything.
je suis surpris de vous voir ici. , i m surprised to see you here.
je suis rarement invit aux f tes. , i m rarely invited to parties.
il est allergique aux chats. , he s allergic to cats.
tu es encore un bleu. , you re still green.
tu es fort bon. , you re very good.
vous tes les propri taires. , you re the owners.
il est born. , he is thick headed.
je suis chanceux aujourd hui. , i m lucky today.
je ne suis pas ton petit ami. , i m not your boyfriend.
vous tes pardonn e. , you re forgiven.
je r pare quelque chose. , i m fixing something.
vous tes tr s astucieuses. , you re very astute.
je nourris mon b b au sein. , i m breast feeding my baby.
je suis l un de vos l ves. , i m one of your students.
elle va beaucoup mieux aujourd hui. , she s much better today.
je suis v g tarienne. , i am a vegetarian.
vous tes en s curit. , you re safe.
vous tes sinistre. , you re creepy.
c est mon camarade de classe. , he is my classmate.
elle commence son travail sept heures. , she starts her job at seven o clock.
je ne suis pas bizarre. , i m not weird.
je ne m en vais pas. , i m not going away.
je suis heureux moi aussi. , i m happy too.
vous gagnez n est ce pas? , you re winning aren t you?
c est ici qu il joue. , he is playing here.
je suis heureux de vous revoir. , i m pleased to see you again.
je ne dors pas vraiment je sommeille. , i m not really asleep just dozing.
t es remont. , you re psyched.
je vais commencer avec celui ci. , i m going to start with this one.
elle n est pas encore l. , she is not here yet.
vous tes un sale menteur! , you re a filthy liar!
je suis vraiment embarrass e. , i m really embarrassed.
j essaye de nettoyer la maison. , i m trying to clean the house.
elle a mieux chant que d ordinaire. , she sang better than usual.
je suis nerv. , i m angry.
vous n tes pas les bienvenus ici. , you re not welcome here.
je travaille aussi vite que je peux. , i m working as fast as i can.
vous tes mes amis tous les deux. , you re my friends both of you.
je vais maintenant raccrocher. , i m going to hang up now.
je n attends personne. , i m not expecting anyone.
tu es chiant. , you re annoying.
j conomise autant que je peux. , i m saving as much as i can.
je suis trop occup pour l aider. , i m too busy to help him.
je suis amoureuse de toi. , i m in love with you.
tu as de la diplomatie. , you re diplomatic.
je suis un patient. , i m a patient.
j en ai marre de l anglais. , i m sick of english.
vous avez tort. , you are wrong.
je suis trop affair e. , i m too busy.
je viens de portugal. , i am from portugal.
